,Date,figi,operation,order_id
365,2021_11_30-22:19:20,BBG000DN7P92,Sell,336363822380
366,2021_11_30-22:26:36,BBG000DN7P92,Sell,336370103290
367,2021_11_30-22:33:52,BBG000DN7P92,Sell,336377750670
368,2021_11_30-22:41:24,BBG000DN7P92,Sell,336384436730
369,2021_11_30-22:48:57,BBG000DN7P92,Sell,336390680380
370,2021_11_30-22:56:29,BBG000DN7P92,Sell,336397569610
371,2021_11_30-23:03:52,BBG000DN7P92,Sell,336401913150
372,2021_12_01-19:29:27,BBG000DN7P92,Sell,336875081220
373,2021_12_01-19:36:46,BBG000DN7P92,Sell,336883840740
374,2021_12_01-19:44:15,BBG000DN7P92,Sell,336891305420
375,2021_12_01-19:51:32,BBG000DN7P92,Sell,336899404250
376,2021_12_01-19:59:03,BBG000DN7P92,Sell,336908660430
377,2021_12_01-20:06:34,BBG000DN7P92,Sell,336917260220
378,2021_12_01-20:14:00,BBG000DN7P92,Sell,336924895520
379,2021_12_01-20:21:19,BBG000DN7P92,Sell,336931454220
380,2021_12_01-20:28:45,BBG000DN7P92,Sell,336938766850
381,2021_12_01-20:36:30,BBG000DN7P92,Sell,336946495660
382,2021_12_01-20:43:39,BBG000DN7P92,Sell,336953384360
383,2021_12_01-20:51:00,BBG000DN7P92,Sell,336960246640
384,2021_12_01-20:58:17,BBG000DN7P92,Sell,336969043170
385,2021_12_01-21:05:41,BBG000DN7P92,Sell,336979210330
386,2021_12_01-21:13:04,BBG000DN7P92,Sell,336989506750
387,2021_12_01-21:20:35,BBG000DN7P92,Sell,336999815980
388,2021_12_01-21:27:52,BBG000DN7P92,Sell,337007469480
389,2021_12_01-21:35:07,BBG000DN7P92,Sell,337015124190
390,2021_12_01-21:42:38,BBG000DN7P92,Sell,337022513870
391,2021_12_01-21:49:56,BBG000DN7P92,Sell,337034147100
392,2021_12_01-21:57:05,BBG000DN7P92,Sell,337045152300
393,2021_12_01-22:04:30,BBG000DN7P92,Sell,337055613560
394,2021_12_01-22:11:42,BBG000DN7P92,Sell,337064932550
395,2021_12_01-22:19:17,BBG000DN7P92,Sell,337075953750
396,2021_12_01-22:26:33,BBG000DN7P92,Sell,337085475440
397,2021_12_01-22:33:47,BBG000DN7P92,Sell,337094185850
398,2021_12_01-22:40:55,BBG000DN7P92,Sell,337103339980
399,2021_12_01-22:48:20,BBG000DN7P92,Sell,337111954990
